醫院名稱,科別,組別,認定年度,資格效期,醫事機構代碼,地址,鄉鎮市區,地址-街路門牌,權屬別,型態別,電話,院所明細查詢,定位地址,WGS84經度,WGS84緯度
臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,內科、外科,一般內科、兒科、一般外科、婦產科,105,105年11月1日至110年12月31日,1301200010,臺北市文山區興隆路三段111號,文山區,興隆路三段111號,私立醫學院、校附設醫院,綜合醫院,0229307930,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1301200010,臺北市文山區興光里7鄰興隆路三段111號,121.55833,25.000305
臺北醫學大學附設醫院,內科、外科,一般內科、精神科、兒科、一般外科、婦產科,105,105年11月1日至110年12月31日,1301170017,臺北市信義區吳興街２５2號,信義區,吳興街２５2號,私立醫學院、校附設醫院,綜合醫院,0227372181,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1301170017,臺北市信義區雙和里22鄰吳興街252號,121.563638,25.026637
臺北市立聯合醫院(松德院區),內科,精神科,105,105年11月1日至110年12月31日,0101090517,臺北市信義區松德路309號、中正區金山南路一段5號1、2樓,信義區,松德路309號、中正區金山南路一段5號1、2樓,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市信義區三犁里23鄰松德路309號,121.574884,25.03048
振興醫療財團法人振興醫院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,1101160017,臺北市北投區振興街４５號,北投區,振興街４５號,醫療財團法人醫院,綜合醫院,0228264400,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101160017,臺北市北投區榮華里2鄰振興街45號,121.5224,25.117543
行天宮醫療志業醫療財團法人恩主公醫院,內科、外科,一般內科、兒科、一般外科、婦產科,105,105年11月1日至110年12月31日,1131090019,新北市三峽區復興路399號、中山路198、258號,三峽區,復興路399號、中山路198、258號,醫療財團法人醫院,綜合醫院,(02)26723456,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1131090019,新北市三峽區鳶山里13鄰復興路399號,121.363007,24.938385
佛教慈濟醫療財團法人台北慈濟醫院,內科、外科,,105,105年11月1日至110年12月31日,1131050515,新北市新店區建國路277號地上1、3、4樓及289號地下1至3樓至地上1至15樓,新店區,建國路277號地上1、3、4樓及289號地下1至3樓至地上1至15樓,醫療財團法人醫院,綜合醫院,(02)66289779,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1131050515,新北市新店區復興里13鄰建國路277號,121.535615,24.984128
國泰醫療財團法人新竹國泰綜合醫院,內科、外科,一般內科、兒科、一般外科、婦產科,105,105年11月1日至110年12月31日,1112010528,新竹市東區福德里中華路二段六七八號及六七八號之一,東區,福德里中華路二段六七八號及六七八號之一,醫療財團法人醫院,綜合醫院,03-5278999,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1112010528,新竹市東區福德里7鄰中華路二段678號,120.965227,24.798257
國立臺灣大學醫學院附設醫院新竹分院,內科、外科,一般內科、一般外科、兒科,105,105年11月1日至110年12月31日,0412040012,新竹市北區金華里經國路一段442巷25號,北區,金華里經國路一段442巷25號,公立醫學院校附設醫院,綜合醫院,03-5326151,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0412040012,新竹市北區金華里21鄰經國路一段442巷25號,120.97992,24.816707
沙爾德聖保祿修女會醫療財團法人聖保祿醫院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,1132010024,桃園市桃園區建新街123號,桃園區,建新街123號,醫療財團法人醫院,綜合醫院,03-3613141,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1132010024,桃園市桃園區福安里19鄰建新街123號,121.312507,24.982115
童綜合醫療社團法人童綜合醫院,內科、外科,一般內科、精神科、兒科、一般外科、婦產科,105,105年11月1日至110年12月31日,0936060016,臺中市沙鹿區成功西街8號,沙鹿區,成功西街8號,醫療社團法人醫院,綜合醫院,04-26581919,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0936060016,臺中市沙鹿區鹿寮里17鄰成功西街8號,120.560576,24.242944
國軍臺中總醫院附設民眾診療服務處,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,0536190011,臺中市太平區中山路二段３４８號,太平區,中山路二段３４８號,軍方醫院(民眾診療),綜合醫院,04-23934191,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0536190011,臺中市太平區光明里17鄰中山路二段348號,120.730101,24.150814
衛生福利部彰化醫院,內科、外科,,105,105年11月1日至110年12月31日,0137170515,彰化縣埔心鄉中正路二段80號,埔心鄉,中正路二段80號,部立及直轄市立醫院,醫院,04-8298686,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0137170515,彰化縣埔心鄉舊?村4鄰中正路二段80號,120.527299,23.950225
彰化基督教醫療財團法人二林基督教醫院,內科、外科,,105,105年11月1日至110年12月31日,1137080017,彰化縣二林鎮南光里大成路一段558號、安和街40巷28號2樓,二林鎮,南光里大成路一段558號、安和街40巷28號2樓,醫療財團法人醫院,綜合醫院,048960128,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1137080017,彰化縣二林鎮南光里25鄰大成路一段558號,120.363344,23.893608
臺中榮民總醫院埔里分院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,0638020014,南投縣埔里鎮大城里中山路3段339號,埔里鎮,大城里中山路3段339號,榮民醫院,綜合醫院,049-2998911,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0638020014,南投縣埔里鎮大城里28鄰中山路三段339號,120.956327,23.968093
埔基醫療財團法人埔里基督教醫院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,1138020015,南投縣埔里鎮鐵山路一號,埔里鎮,鐵山路一號,醫療財團法人醫院,綜合醫院,049-2912151,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1138020015,南投縣埔里鎮愛蘭里1鄰鐵山路1號,120.946799,23.970928
中國醫藥大學北港附設醫院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,1339060017,雲林縣北港鎮新德路１２３號,北港鎮,新德路１２３號,私立醫學院、校附設醫院,綜合醫院,05 7837901,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1339060017,雲林縣北港鎮新街里5鄰新德路123號,120.30782,23.591763
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,1122010021,嘉義市東區短竹里大雅路二段565號,東區,短竹里大雅路二段565號,醫療財團法人醫院,綜合醫院,05 2756000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1122010021,嘉義市東區短竹里11鄰大雅路二段625號,120.46629,23.476849
台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,1105040016,臺南市麻豆區埤頭里苓子林20號,麻豆區,埤頭里苓子林20號,醫療財團法人醫院,綜合醫院,06-5702228,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1105040016,臺南市麻豆區埤頭里11鄰苓子林20號,120.233033,23.179874
台灣基督長老教會新樓醫療財團法人台南新樓醫院,內科、外科,一般內科、兒科、一般外科、婦產科,105,105年11月1日至110年12月31日,1121010018,臺南市東區東門路1段57號,東區,東門路1段57號,醫療財團法人醫院,綜合醫院,06-2748316,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1121010018,臺南市東區東門里6鄰東門路一段57號,120.212807,22.989158
郭綜合醫院,內科,一般內科,105,105年11月1日至110年12月31日,1521031104,臺南市中西區民生路2段6.8.10.12.14.18.20.22.23.24.25.27.44號及40、42號1、2樓,中西區,民生路2段6.8.10.12.14.18.20.22.23.24.25.27.44號及40、42號1、2樓,私立西醫醫院,綜合醫院,06-2221111,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1521031104,臺南市中西區五條港里1鄰民生路二段6號,121.533012,25.042385
輔英科技大學附設醫院,內科、外科,一般內科、一般外科,105,105年11月1日至110年12月31日,1343030018,屏東縣東港鎮中山路５號及光復路一段318號,東港鎮,中山路５號及光復路一段318號,私立醫學院、校附設醫院,綜合醫院,08 8323146,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1343030018,屏東縣東港鎮興臺里16鄰中山路5號,120.452734,22.465198
臺北榮民總醫院新竹分院,,一般內科,106,106年11月1日至111年12月31日,0633030010,新竹縣竹東鎮中豐路一段81號,竹東鎮,中豐路一段81號,榮民醫院,綜合醫院,035962134,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0633030010,新竹縣竹東鎮東寧里3鄰中豐路一段81號,121.099575,24.722702
國立臺灣大學醫學院附設醫院竹東分院,,一般內科、精神科,106,106年11月1日至111年12月31日,0433030016,新竹縣竹東鎮至善路52號,竹東鎮,至善路52號,公立醫學院校附設醫院,綜合醫院,03-5943248,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0433030016,新竹縣竹東鎮上?里9鄰至善路52號,121.09356,24.718675
新北市立聯合醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,0131020016,新北市板橋區英士路198號,板橋區,英士路198號,部立及直轄市立醫院,綜合醫院,(02)29829111,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0131020016,新北市板橋區德翠里11鄰英士路198號,121.457708,25.023683
高雄榮民總醫院臺南分院,,一般外科,106,106年11月1日至111年12月31日,0641310018,臺南市永康區復興路427號,永康區,復興路427號,榮民醫院,綜合醫院,06-3125101,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0641310018,臺南市永康區復興里1鄰復興路427號,120.240316,22.997218
衛生福利部臺南醫院,,一般內科、精神科、一般外科,106,106年11月1日至111年12月31日,0121050011,臺南市中西區中山路125號,中西區,中山路125號,部立及直轄市立醫院,綜合醫院,06-2200055,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0121050011,臺南市中西區赤嵌里3鄰中山路125號,120.209228,22.995819
敏盛綜合醫院,,一般內科、兒科、一般外科、婦產科,106,106年11月1日至111年12月31日,1532011154,桃園市桃園區三民路三段106號,桃園區,三民路三段106號,私立西醫醫院,綜合醫院,03-3179599,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1532011154,桃園市桃園區西門里12鄰三民路三段106號,121.305696,24.994364
臺北榮民總醫院,,一般內科、精神科、兒科、一般外科、婦產科,106,106年11月1日至111年12月31日,0601160016,臺北市北投區石牌路二段２０１號,北投區,石牌路二段２０１號,榮民醫院,綜合醫院,0228712121,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0601160016,臺北市北投區永欣里3鄰石牌路二段201號,121.519166,25.119181
衛生福利部南投醫院,,一般內科,106,106年11月1日至111年12月31日,0138010027,南投縣南投市中興新村環山路57號,南投市,中興新村環山路57號,部立及直轄市立醫院,綜合醫院,049231150,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0138010027,南投縣南投市光華里24鄰環山路57號,120.6948,23.952389
仁愛醫療財團法人大里仁愛醫院,,一般內科、兒科、一般外科、婦產科,106,106年11月1日至111年12月31日,1136200015,臺中市大里區東榮路４８３號,大里區,東榮路４８３號,醫療財團法人醫院,綜合醫院,04-24819900,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1136200015,臺中市大里區國光里2鄰東榮路483號,120.680434,24.109261
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,,一般內科、精神科、一般外科,106,106年11月1日至111年12月31日,1101100011,臺北市中山區中山北路二段９２號,中山區,中山北路二段９２號,醫療財團法人醫院,綜合醫院,0225433535,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101100011,臺北市中山區集英里7鄰中山北路二段92號,121.522558,25.058883
國立陽明大學附設醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,0434010518,宜蘭縣宜蘭市校舍路169號,宜蘭市,校舍路169號,公立醫學院校附設醫院,醫院,03-9325192,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0434010518,宜蘭縣宜蘭市東村里10鄰校舍路169號,121.75798,24.750052
秀傳醫療財團法人彰濱秀傳紀念醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,1137020511,彰化縣鹿港鎮鹿工路6號、6-2號,鹿港鎮,鹿工路6號、6-2號,醫療財團法人醫院,綜合醫院,04-7813888,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1137020511,彰化縣鹿港鎮海埔里18鄰鹿工路6號,120.41112,24.078274
李綜合醫療社團法人大甲李綜合醫院,,一般外科,106,106年11月1日至111年12月31日,0936030018,臺中市大甲區八德街2號,大甲區,八德街2號,醫療社團法人醫院,綜合醫院,04-26862288,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0936030018,臺中市大甲區平安里12鄰八德街2號,120.618073,24.350784
衛生福利部基隆醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,0111070010,基隆市信義區信二路２６８號,信義區,信二路２６８號,部立及直轄市立醫院,綜合醫院,02-24292525,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0111070010,基隆市信義區仁壽里18鄰信二路268號,121.748322,25.130455
台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,,一般內科、精神科、兒科、一般外科、婦產科,106,106年11月1日至111年12月31日,1146010014,臺東縣台東市長沙街３０３巷１號,台東市,長沙街３０３巷１號,醫療財團法人醫院,醫院,089310150,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1146010014,臺東縣臺東市東海里9鄰長沙街287號,121.141015,22.750271
奇美醫療財團法人佳里奇美醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,1105050012,臺南市佳里區佳興里佳里興606號,佳里區,佳興里佳里興606號,醫療財團法人醫院,醫院,06-7263333,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1105050012,臺南市佳里區佳興里6鄰佳里興606號,120.183662,23.181698
高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),,一般內科、一般外科,106,106年11月1日至111年12月31日,0102070020,高雄市前金區中華三路68號,前金區,中華三路68號,部立及直轄市立醫院,綜合醫院,,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0102070020,高雄市前金區復元里12鄰中華三路68號,120.297205,22.626989
寶建醫療社團法人寶建醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,0943010017,屏東縣屏東市自由路650-1號地下1樓,屏東市,自由路650-1號地下1樓,醫療社團法人醫院,綜合醫院,08-7665995,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0943010017,屏東縣屏東市崇蘭里15鄰自由路650之1號,120.481843,22.683333
臺北榮民總醫院玉里分院,,精神科,106,106年11月1日至111年12月31日,0645030011,花蓮縣玉里鎮新興街９１號,玉里鎮,新興街９１號,榮民醫院,精神科醫院,038883141,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0645030011,花蓮縣玉里鎮泰昌里14鄰新興街91號,121.312031,23.339213
林新醫療社團法人林新醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,0917070029,臺中市南屯區惠中路3段36號,南屯區,惠中路3段36號,醫療社團法人醫院,綜合醫院,04-22586688,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0917070029,臺中市南屯區三和里31鄰惠中路三段36號,120.640201,24.149037
衛生福利部臺北醫院,,一般內科、一般外科,106,106年11月1日至111年12月31日,0131060029,新北市新莊區思源路127號,新莊區,思源路127號,部立及直轄市立醫院,綜合醫院,02 2765566,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0131060029,新北市新莊區思源里3鄰思源路127號,121.459622,25.04324
天主教若瑟醫療財團法人若瑟醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,1139030015,雲林縣虎尾鎮新生路74號(民權路2號),虎尾鎮,新生路74號(民權路2號),醫療財團法人醫院,綜合醫院,05 6337333,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1139030015,雲林縣虎尾鎮新興里16鄰新生路74號,120.437886,23.708214
衛生福利部旗山醫院,,一般內科,107,107年11月1日至112年12月31日,0142030019,高雄市旗山區中學路６０號,旗山區,中學路６０號,部立及直轄市立醫院,綜合醫院,07-6613811,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0142030019,高雄市旗山區大德里2鄰中學路60號,120.483277,22.880693
亞洲大學附屬醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,1303180011,臺中市霧峰區福新路222號,霧峰區,福新路222號,私立醫學院、校附設醫院,綜合醫院,04-37061668,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1303180011,臺中市霧峰區南柳里12鄰福新路222號,120.68617,24.053561
三軍總醫院澎湖分院附設民眾診療服務處,,一般內科,107,107年11月1日至112年12月31日,0544010031,澎湖縣馬公市前寮里90號1-5樓,馬公市,前寮里90號1-5樓,軍方醫院(民眾診療),綜合醫院,06 9211116,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0544010031,澎湖縣馬公市前寮里3鄰前寮90號,119.583681,23.554615
澄清綜合醫院中港分院,,一般內科、兒科、一般外科、婦產科,107,107年11月1日至112年12月31日,1517061032,臺中市西屯區敬德街8之1號,西屯區,敬德街8之1號,私立西醫醫院,綜合醫院,04 24632000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1517061032,臺中市西屯區林厝里11鄰敬德街8之1號,120.612155,24.199307
高雄市立聯合醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,0102020011,高雄市鼓山區中華一路976號,鼓山區,中華一路976號,部立及直轄市立醫院,綜合醫院,07-5552565,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0102020011,高雄市鼓山區龍水里7鄰中華一路976號,120.291698,22.654924
中山醫學大學附設醫院,,一般內科、兒科、一般外科、婦產科,107,107年11月1日至112年12月31日,1317040011,臺中市南區建國北路一段一一○號,南區,建國北路一段一一○號,私立醫學院、校附設醫院,綜合醫院,04 24739595,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1317040011,臺中市南區樹德里7鄰建國北路一段11號,120.647533,24.119282
衛生福利部草屯療養院,,精神科,107,107年11月1日至112年12月31日,0138030010,南投縣草屯鎮玉屏路１６１號,草屯鎮,玉屏路１６１號,部立及直轄市立醫院,精神科醫院,049-2550800,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0138030010,南投縣草屯鎮御史里14鄰玉屏路161號,120.704532,23.990395
大千綜合醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,1535010051,苗栗縣苗栗市大同路133號1至6樓(81栗建管苗字第405號)、大同路133號1至4樓(77栗建管苗字第00414號)信義路23號地下層（一）及1至7樓(85栗建管苗字第287號)恭敬路36號地下第3層及1至9樓 (97栗商建苗使字第00112號)、信義街36號1至8樓（101）栗商建苗使字第00127號,苗栗市,大同路133號1至6樓(81栗建管苗字第405號)、大同路133號1至4樓(77栗建管苗字第00414號)信義路23號地下層（一）及1至7樓(85栗建管苗字第287號)恭敬路36號地下第3層及1至9樓 (97栗商建苗使字第00112號)、信義街36號1至8樓（101）栗商建苗使字第00127號,私立西醫醫院,綜合醫院,037-357125,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1535010051,苗栗縣苗栗市高苗里10鄰大同路133號,120.815489,24.551742
東元醫療社團法人東元綜合醫院,,一般內科、一般外科、婦產科,107,107年11月1日至112年12月31日,0933050018,新竹縣竹北市縣政二路69號(竹北市光明九路9-1號牙科.精神科門診部),竹北市,縣政二路69號(竹北市光明九路9-1號牙科.精神科門診部),醫療社團法人醫院,綜合醫院,03-5527000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0933050018,新竹縣竹北市斗崙里2鄰縣政二路68號,121.01455,24.823384
國軍高雄總醫院左營分院附設民眾診療服務處,,一般內科、一般外科,107,107年11月1日至112年12月31日,0502030015,高雄市左營區軍校路５５３號,左營區,軍校路５５３號,軍方醫院(民眾診療),綜合醫院,07 5811648,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0502030015,高雄市左營區合群里30鄰軍校路553號,120.292231,22.700351
天主教靈醫會醫療財團法人羅東聖母醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,1134020028,宜蘭縣羅東鎮中正南路160號,羅東鎮,中正南路160號,醫療財團法人醫院,綜合醫院,03-9544106,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1134020028,宜蘭縣羅東鎮南昌里6鄰中正南路160號,121.770714,24.671434
天主教耕莘醫療財團法人耕莘醫院,,一般內科、精神科、兒科、一般外科、婦產科,107,107年11月1日至112年12月31日,1231050017,新北市新店區中正路362號,新店區,中正路362號,宗教財團法人附設醫院,綜合醫院,02 2193391,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1231050017,新北市新店區百和里14鄰中正路362號,121.535619,24.976084
衛生福利部嘉南療養院,,精神科,107,107年11月1日至112年12月31日,0141270028,臺南市仁德區裕忠路539號,仁德區,裕忠路539號,部立及直轄市立醫院,精神科醫院,06-2795019,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0141270028,臺南市仁德區仁德里29鄰裕忠路539號,120.241951,22.976718
醫療財團法人辜公亮基金會和信治癌中心醫院,,一般內科,108,108年11月1日至113年12月31日,1101160026,臺北市北投區立德路１２５號,北投區,立德路１２５號,醫療財團法人醫院,綜合醫院,02-28970011,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101160026,臺北市北投區一德里15鄰立德路125號,121.47201,25.12834
