醫院名稱,科別,組別,認定年度,資格效期,醫事機構代碼,地址,鄉鎮市區,地址-街路門牌,權屬別,型態別,電話,院所明細查詢,定位地址,WGS84經度,WGS84緯度
臺北市立聯合醫院(陽明院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市士林區雨聲街105號,士林區,雨聲街105號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市士林區岩山里7鄰雨聲街105號,121.531566,25.105194
衛生福利部桃園醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0132010014,桃園市桃園區中山路一四九二號,桃園區,中山路一四九二號,部立及直轄市立醫院,綜合醫院,03 3699721,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0132010014,桃園市桃園區龍山里8鄰中山路1492號,121.268092,24.977705
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1112010519,新竹市東區光復里光復路二段690號,東區,光復里光復路二段690號,醫療財團法人醫院,綜合醫院,03-6119595,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1112010519,新竹市東區光復里10鄰光復路二段690號,120.990781,24.800087
奇美醫療財團法人柳營奇美醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1141090512,臺南市柳營區太康里201號,柳營區,太康里201號,醫療財團法人醫院,綜合醫院,06-6226999,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1141090512,臺南市柳營區太康里13鄰太康201號,120.324704,23.289269
佛教慈濟醫療財團法人大林慈濟醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1140030012,嘉義縣大林鎮平林里民生路2號,大林鎮,平林里民生路2號,醫療財團法人醫院,綜合醫院,05-2648000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1140030012,嘉義縣大林鎮平林里7鄰民生路2號,120.457449,23.596312
澄清綜合醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1517011112,臺中市中區平等街139號,中區,平等街139號,私立西醫醫院,綜合醫院,04 24632000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1517011112,臺中市中區光復里22鄰平等街139號,120.68161,24.142603
佛教慈濟醫療財團法人台中慈濟醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1136090519,臺中市潭子區豐興路一段66、88號,潭子區,豐興路一段66、88號,醫療財團法人醫院,綜合醫院,04-36060666,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1136090519,臺中市潭子區聚興里17鄰豐興路一段595號,120.722397,24.204014
基督復臨安息日會醫療財團法人臺安醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1101010021,"臺北市松山區八德路二段424,426號",松山區,"八德路二段424,426號",醫療財團法人醫院,綜合醫院,0227718151,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101010021,426號,臺北市松山區中正里2鄰八德路二段449號,121.547323
天主教耕莘醫療財團法人永和耕莘醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1231030015,新北市永和區中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓,永和區,中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓,宗教財團法人附設醫院,綜合醫院,(02)29286060,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1231030015,新北市永和區永興里25鄰中興街80號,121.51787,25.011873
臺北市立聯合醫院(中興院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市大同區鄭州路145號,大同區,鄭州路145號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市大同區玉泉里9鄰鄭州路145號,121.508887,25.050692
臺北市立聯合醫院(忠孝院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市南港區同德路87號、南港區園區街3之2號2樓,南港區,同德路87號、南港區園區街3之2號2樓,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市南港區萬福里12鄰同德路87號,121.586157,25.046506
臺北市立聯合醫院(仁愛院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市大安區仁愛路四段10號,大安區,仁愛路四段10號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市大安區仁慈里16鄰仁愛路四段10號,121.545302,25.03754
臺北市立聯合醫院(和平院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市中正區中華路二段33號、福州街12號,中正區,中華路二段33號、福州街12號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市中正區愛國里3鄰中華路二段33號,121.506703,25.035591
安泰醫療社團法人安泰醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0943030019,屏東縣東港鎮中正路一段210號,東港鎮,中正路一段210號,醫療社團法人醫院,綜合醫院,08-8329966,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0943030019,屏東縣東港鎮興東里26鄰中正路一段210號,120.459127,22.474326
屏基醫療財團法人屏東基督教醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1143010012,屏東縣屏東市大連路６０號,屏東市,大連路６０號,醫療財團法人醫院,綜合醫院,08 7363026,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1143010012,屏東縣屏東市華山里21鄰大連路60號,120.502588,22.682041
國立臺灣大學醫學院附設醫院雲林分院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0439010518,雲林縣虎尾鎮廉使里學府路95號,虎尾鎮,廉使里學府路95號,公立醫學院校附設醫院,綜合醫院,05-5323911,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0439010518,雲林縣虎尾鎮廉使里19鄰學府路95號,120.423338,23.736656
國泰醫療財團法人汐止國泰綜合醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1131110516,新北市汐止區建成路59巷2號地下4樓至地上12樓,汐止區,建成路59巷2號地下4樓至地上12樓,醫療財團法人醫院,綜合醫院,26482121,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1131110516,新北市汐止區橋東里36鄰建成路59巷2號,121.661084,25.072872
長庚醫療財團法人基隆長庚紀念醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1111060015,基隆市安樂區麥金路201號,安樂區,麥金路201號,醫療財團法人醫院,綜合醫院,02-24313131,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1111060015,基隆市安樂區鶯安里35鄰麥金路201號,121.721078,25.121578
臺灣基督教門諾會醫療財團法人門諾醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1145010038,花蓮縣花蓮市民權路４４號,花蓮市,民權路４４號,醫療財團法人醫院,綜合醫院,03 8241234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1145010038,花蓮縣花蓮市民立里6鄰民權路44號,121.626626,23.988257
國軍花蓮總醫院附設民眾診療服務處,,一般內科,108,108年11月1日至113年12月31日,0545040515,花蓮縣新城鄉嘉里路163號,新城鄉,嘉里路163號,軍方醫院(民眾診療),綜合醫院,03-8263151,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0545040515,花蓮縣新城鄉嘉里村33鄰嘉里路163號,121.6074,24.024429
臺北榮民總醫院桃園分院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0632010014,桃園市桃園區成功路三段一○○號,桃園區,成功路三段一○○號,榮民醫院,綜合醫院,03 3384889,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0632010014,桃園市桃園區三元里10鄰成功路三段9之5號,121.325586,24.998577
聯新國際醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1532100049,桃園市平鎮區廣泰路七七號、桃園市平鎮區延平路二段430巷115號,平鎮區,廣泰路七七號、桃園市平鎮區延平路二段430巷115號,私立西醫醫院,綜合醫院,03- 4941234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1532100049,桃園市平鎮區義民里14鄰廣泰路77號,121.20496,24.94612
長庚醫療財團法人嘉義長庚紀念醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1140010510,嘉義縣朴子市仁和里嘉朴路西段六號、八號,朴子市,仁和里嘉朴路西段六號、八號,醫療財團法人醫院,綜合醫院,05-3621000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1140010510,嘉義縣朴子市仁和里13鄰嘉朴路西段8之1號,120.285239,23.463483
戴德森醫療財團法人嘉義基督教醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1122010012,嘉義市東區中庄里忠孝路５３９號；東區後湖里保建街100號；東區頂庄里忠孝路642號,東區,中庄里忠孝路５３９號；東區後湖里保建街100號；東區頂庄里忠孝路642號,醫療財團法人醫院,綜合醫院,05 2765041,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1122010012,嘉義市東區中庄里14鄰忠孝路539號,120.45005,23.4994
臺中榮民總醫院嘉義分院,,一般內科、精神科、一般外科,108,108年11月1日至113年12月31日,0622020017,嘉義市西區劉厝里世賢路二段６００號,西區,劉厝里世賢路二段６００號,榮民醫院,綜合醫院,05 2359630,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0622020017,嘉義市西區劉厝里20鄰世賢路二段600號,120.42297,23.467549
國軍高雄總醫院附設民眾診療服務處,,一般內科、精神科、一般外科,108,108年11月1日至113年12月31日,0502080015,高雄市苓雅區建軍路５號,苓雅區,建軍路５號,軍方醫院(民眾診療),綜合醫院,07 7496751,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0502080015,高雄市苓雅區正義里5鄰建軍路5號,120.342027,22.627051
阮綜合醫療社團法人阮綜合醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0902080013,"高雄市苓雅區成功一路156號1-3樓及162號B1-10樓.四維四路136號B4-12樓.156號B2-4,6-13樓及166號B2-11樓.永昌街49號1-6樓",苓雅區,"成功一路156號1-3樓及162號B1-10樓.四維四路136號B4-12樓.156號B2-4,6-13樓及166號B2-11樓.永昌街49號1-6樓",醫療社團法人醫院,綜合醫院,07-3351121,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0902080013,高雄市苓雅區鼓中里5鄰成功一路156號,120.297452,22.615369
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1102110011,高雄市小港區山明里山明路四八二號B1-10樓,小港區,山明里山明路四八二號B1-10樓,醫療財團法人醫院,綜合醫院,07 8036783,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1102110011,高雄市小港區山明里20鄰山明路482號,120.363369,22.567467
輔仁大學學校財團法人輔仁大學附設醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1331160010,新北市泰山區貴子路69號(地下4層、地上1至11層及13層、15層),泰山區,貴子路69號(地下4層、地上1至11層及13層、15層),私立醫學院、校附設醫院,綜合醫院,(02)85128888,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1331160010,新北市泰山區貴賢里9鄰貴子路69號,121.430798,25.039676
國軍桃園總醫院附設民眾診療服務處,,一般內科、一般外科,108,108年11月1日至113年12月31日,0532090029,桃園市龍潭區中興路168號,龍潭區,中興路168號,軍方醫院(民眾診療),醫院,03- 4799595,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0532090029,桃園市龍潭區北興里12鄰中興路168號,121.235823,24.877445
臺中榮民總醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0617060018,臺中市西屯區臺灣大道4段1650號,西屯區,臺灣大道4段1650號,榮民醫院,綜合醫院,04 23592525,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0617060018,臺中市西屯區福聯里7鄰臺灣大道四段1650號,120.604647,24.184298
彰化基督教醫療財團法人彰化基督教醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1137010024,彰化縣彰化市南校街135號、中華路176號、旭光路235、旭光路320號(地下2樓至地下5樓、地上12樓至地上14樓),彰化市,南校街135號、中華路176號、旭光路235、旭光路320號(地下2樓至地下5樓、地上12樓至地上14樓),醫療財團法人醫院,綜合醫院,047238595,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1137010024,彰化縣彰化市光南里15鄰南校街135號,120.544461,24.07149
秀傳醫療社團法人秀傳紀念醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0937010019,彰化縣彰化市南瑤里中山路一段530巷2號(眼科大樓),彰化市,南瑤里中山路一段530巷2號(眼科大樓),醫療社團法人醫院,綜合醫院,04-7256166,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0937010019,彰化縣彰化市南?里13鄰中山路一段530巷2號,120.537321,24.064318
國泰醫療財團法人國泰綜合醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1101020018,臺北市大安區仁愛路四段266巷6號，280號,大安區,仁愛路四段266巷6號，280號,醫療財團法人醫院,綜合醫院,0227082121,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101020018,臺北市大安區敦煌里17鄰仁愛路四段266巷6號,121.552801,25.037178
衛生福利部雙和醫院(委託臺北醫學大學興建經營),,一般內科、兒科、一般外科,108,108年11月1日至113年12月31日,1331040513,新北市中和區中正路291號醫療大樓地下2層至地上12層,中和區,中正路291號醫療大樓地下2層至地上12層,私立醫學院、校附設醫院,綜合醫院,22490088,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1331040513,新北市中和區力行里33鄰中正路291號,121.494082,24.993746
衛生福利部臺中醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0117030010,臺中市西區廣民里三民路1段199號,西區,廣民里三民路1段199號,部立及直轄市立醫院,綜合醫院,04-22294411,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0117030010,臺中市西區廣民里2鄰三民路一段199號,120.675711,24.140225
衛生福利部豐原醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0136010010,臺中市豐原區安康路１００號,豐原區,安康路１００號,部立及直轄市立醫院,綜合醫院,04-25271180,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0136010010,臺中市豐原區南陽里10鄰安康路100號,120.725292,24.242706
新光醫療財團法人新光吳火獅紀念醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1101150011,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號,士林區,文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號,醫療財團法人醫院,綜合醫院,0228332211,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101150011,臺北市士林區福佳里20鄰文昌路95號,121.520289,25.09624
長庚醫療財團法人林口長庚紀念醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1132070011,桃園市龜山區公西里復興街5號、5之7號,龜山區,公西里復興街5號、5之7號,醫療財團法人醫院,綜合醫院,03 3281200,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1132070011,桃園市龜山區公西里10鄰復興街5號,121.368281,25.062652
國立台灣大學醫學院附設醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0401180014,臺北市中正區中山南路７、８號；常德街１號,中正區,中山南路７、８號；常德街１號,公立醫學院校附設醫院,綜合醫院,02 23123456,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0401180014,臺北市中正區東門里16鄰中山南路21之1號,121.518343,25.035539
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1131010011,新北市板橋區南雅南路二段21號及高爾富路300號,板橋區,南雅南路二段21號及高爾富路300號,醫療財團法人醫院,綜合醫院,(02)  89667000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1131010011,新北市板橋區華東里8鄰南雅南路二段21號,121.452312,24.997312
高雄榮民總醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0602030026,高雄市左營區大中一路３８６號,左營區,大中一路３８６號,榮民醫院,綜合醫院,07 3422121,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0602030026,高雄市左營區福山里19鄰大中一路386號,120.322256,22.677696
奇美醫療財團法人奇美醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1141310019,臺南市南區樹林街二段442號,南區,樹林街二段442號,醫療財團法人醫院,綜合醫院,06-2812811,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1141310019,臺南市南區新昌里1鄰樹林街二段442號,120.196111,22.986581
國立成功大學醫學院附設醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0421040011,臺南市北區勝利路１３８號,北區,勝利路１３８號,公立醫學院校附設醫院,綜合醫院,06-2353535,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0421040011,臺南市北區仁愛里12鄰勝利路138號,120.21923,23.00221
佛教慈濟醫療財團法人花蓮慈濟醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1145010010,花蓮縣花蓮市中央路三段７０７號,花蓮市,中央路三段７０７號,醫療財團法人醫院,綜合醫院,38561825,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1145010010,花蓮縣花蓮市國慶里11鄰中央路三段707號,121.592282,23.995729
醫療財團法人羅許基金會羅東博愛醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1134020019,宜蘭縣羅東鎮南昌街81、83號站前南路61、63號,羅東鎮,南昌街81、83號站前南路61、63號,醫療財團法人醫院,綜合醫院,03-9543131,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1134020019,宜蘭縣羅東鎮南昌里7鄰南昌街99號,121.77041,24.672367
三軍總醫院附設民眾診療服務處,,一般內科、一般外科,108,108年11月1日至113年12月31日,0501110514,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,內湖區,成功路二段325號；臺北市中正區汀州路3段40號,軍方醫院(民眾診療),綜合醫院,,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0501110514,臺北市內湖區寶湖里1鄰成功路二段325號,121.591982,25.0718
臺北榮民總醫院員山分院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0634070018,宜蘭縣宜蘭市林森路1號,宜蘭市,林森路1號,榮民醫院,綜合醫院,03-9222141,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0634070018,宜蘭縣宜蘭市新東里13鄰林森路1號,121.75769,24.75037
台南市立醫院(委託秀傳醫療社團法人經營),,一般內科、一般外科、兒科,108,108年11月1日至113年12月31日,0905320023,臺南市東區崇德路670號,東區,崇德路670號,醫療社團法人醫院,綜合醫院,06-2609926,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0905320023,臺南市東區崇成里18鄰崇德路670號,120.226743,22.968534
臺南市立安南醫院-委託中國醫藥大學興建經營,,一般內科、一般外科,108,108年11月1日至113年12月31日,1305370013,臺南市安南區長和路二段66號,安南區,長和路二段66號,私立醫學院、校附設醫院,綜合醫院,06-3553111,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1305370013,臺南市安南區州南里13鄰長和路二段66號,120.223192,23.064232
光田醫療社團法人光田綜合醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0936050029,臺中市沙鹿區沙田路117號（含大同街5-2號）,沙鹿區,沙田路117號（含大同街5-2號）,醫療社團法人醫院,綜合醫院,04-26625111,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0936050029,臺中市沙鹿區興安里19鄰沙田路117號,120.558832,24.23532
中國醫藥大學附設醫院,,一般內科、一般外科、兒科,108,108年11月1日至113年12月31日,1317050017,臺中市北區育德路二號,北區,育德路二號,私立醫學院、校附設醫院,綜合醫院,04 22052121,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1317050017,臺中市北區邱厝里14鄰育德路1號,120.680903,24.157218
長庚醫療財團法人高雄長庚紀念醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1142100017,高雄市鳥松區大埤路１２３號,鳥松區,大埤路１２３號,醫療財團法人醫院,綜合醫院,07-7317123,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1142100017,高雄市鳥松區鳥松里41鄰大埤路123號,120.356029,22.649847
財團法人私立高雄醫學大學附設中和紀念醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1302050014,高雄市三民區十全一路100號及新興區中山一路36號,三民區,十全一路100號及新興區中山一路36號,私立醫學院、校附設醫院,綜合醫院,07 3121101,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1302050014,高雄市三民區安生里11鄰十全一路100號,120.310001,22.645178
衛生福利部苗栗醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,0135010016,苗栗縣苗栗市為公路747號,苗栗市,為公路747號,部立及直轄市立醫院,綜合醫院,037-261920,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0135010016,苗栗縣苗栗市嘉盛里18鄰為公路747號,120.840405,24.575655
為恭醫療財團法人為恭紀念醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1135050020,苗栗縣頭份市信義路128號(仁愛院區:仁愛路116號及125號5樓、東興院區:水源路417巷11號及13號,頭份市,信義路128號(仁愛院區:仁愛路116號及125號5樓、東興院區:水源路417巷11號及13號,醫療財團法人醫院,綜合醫院,037-676811,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1135050020,苗栗縣頭份市東庄里5鄰信義路128號,120.907345,24.687096
義大醫療財團法人義大醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1142120001,高雄市燕巢區角宿里義大路1號,燕巢區,角宿里義大路1號,醫療財團法人醫院,綜合醫院,07-6150011,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1142120001,高雄市燕巢區角宿里20鄰義大路1號,120.364451,22.765521
